C,septics_retained,control_pool,supply_demand_ratio
12,239,36634,153.28
13,287,36719,127.94
14,338,36653,108.44
15,366,36453,99.6
16,396,36167,91.33
17,426,35734,83.88
18,462,35241,76.28
19,485,34660,71.46
20,522,33958,65.05
21,544,33112,60.87
22,569,32201,56.59
23,585,31221,53.37
24,618,30247,48.94
25,644,29241,45.41
26,674,28368,42.09
27,695,27557,39.65
28,722,26824,37.15
29,739,26151,35.39
30,759,25598,33.73
31,776,25154,32.41
32,804,24728,30.76
33,824,24370,29.58
34,850,24077,28.33
35,880,23763,27.0
36,895,23457,26.21
37,918,23170,25.24
38,936,21831,23.32
39,960,20662,21.52
40,980,19364,19.76
41,992,18062,18.21
42,1019,16788,16.47
43,1035,15525,15.0
44,1053,14320,13.6
45,1073,13104,12.21
46,1096,11991,10.94
47,1111,10916,9.83
48,1127,9809,8.7
49,1143,8753,7.66
50,1164,7801,6.7
51,1178,6903,5.86
52,1190,6079,5.11
53,1206,5325,4.42
54,1224,4623,3.78
55,1238,3945,3.19
56,1252,3265,2.61
57,1267,2635,2.08
58,1277,2006,1.57
59,1286,1404,1.09
60,1298,807,0.62
61,1313,230,0.18
62,1322,224,0.17
