condition,ablation,full_test,ablated_test,dAUPRC_test,dAUPRC_cv,pooled_sd,within_noise
1_none,lab_core,0.1640456532715634,0.1621856787813719,0.001859974490191485,0.0006832387181053001,0.023036594218569184,True
2_class_weight,lab_core,0.1561025236800811,0.1652650064766229,-0.009162482796541804,-0.0058616176129178965,0.01722725010382439,True
3_RandomUnder,lab_core,0.1494104766095538,0.1539225430710225,-0.004512066461468678,0.0008707161340044955,0.014120790206340526,True
4_RandomOver,lab_core,0.1698189604815098,0.162424569977442,0.007394390504067788,0.008026294281435586,0.017930128024404378,True
5_SMOTENC,lab_core,0.1541363551433193,0.1468768652452544,0.007259489898064908,0.0002199130065891064,0.010739164699104064,True
6_BorderlineSMOTE,lab_core,0.168068311289239,0.1693590123561111,-0.0012907010668720964,-0.004602430114468897,0.014175965667827889,True
7_ADASYN,lab_core,0.1642943439335047,0.1610547408064319,0.0032396031270728043,0.0011432781251805024,0.013837548781976822,True
8_SMOTETomek,lab_core,0.1684589747155951,0.1675760406128123,0.0008829341027827842,-0.0029683696461917097,0.016956493469650707,True
1_none,all_7,0.1640456532715634,0.1453290497731295,0.018716603498433904,0.01045415898645971,0.02243261638578722,True
2_class_weight,all_7,0.1561025236800811,0.1462300245990102,0.009872499081070907,0.014006909920133315,0.014097520493288723,True
3_RandomUnder,all_7,0.1494104766095538,0.134296833105759,0.015113643503794821,0.013147905313933506,0.01440468723324282,False
4_RandomOver,all_7,0.1698189604815098,0.1421348802089365,0.027684080272573297,0.017486736807610703,0.018522035750533836,False
5_SMOTENC,all_7,0.1541363551433193,0.1284606875437984,0.02567566759952089,0.010538517775910111,0.013446821547159553,False
6_BorderlineSMOTE,all_7,0.168068311289239,0.1490261240319448,0.019042187257294202,0.012187310041389593,0.014399441749018934,False
7_ADASYN,all_7,0.1642943439335047,0.149329914578503,0.014964429355001696,0.01566754376244872,0.013569116246548414,False
8_SMOTETomek,all_7,0.1684589747155951,0.1501511435310598,0.0183078311845353,0.012583105934458494,0.015557082425585265,False
