cell,feature,group,perm_importance
1_none_baseline,Age,non_SOFA,-0.0006051330000124644
1_none_baseline,HospAdmTime,non_SOFA,0.00039561783294938537
1_none_baseline,HR_mean,non_SOFA,0.0007527812830153691
1_none_baseline,HR_min,non_SOFA,-0.0008321874896518033
1_none_baseline,HR_max,non_SOFA,-0.00032944093955816214
1_none_baseline,HR_std,non_SOFA,0.00013382039448636696
1_none_baseline,O2Sat_mean,SOFA_other(MAP+resp),0.000859897896722861
1_none_baseline,O2Sat_min,SOFA_other(MAP+resp),0.0006306599158038606
1_none_baseline,O2Sat_max,SOFA_other(MAP+resp),-0.001832780517645416
1_none_baseline,O2Sat_std,SOFA_other(MAP+resp),0.0025010809159610016
1_none_baseline,Temp_mean,non_SOFA,0.0034094019089368766
1_none_baseline,Temp_min,non_SOFA,-0.0018884348352361414
1_none_baseline,Temp_max,non_SOFA,0.0016964497758772457
1_none_baseline,Temp_std,non_SOFA,0.0009101795984762295
1_none_baseline,SBP_mean,non_SOFA,-0.00014450806230022483
1_none_baseline,SBP_min,non_SOFA,-0.00011628282409225088
1_none_baseline,SBP_max,non_SOFA,-0.0005006226030998484
1_none_baseline,SBP_std,non_SOFA,-0.0006540209974094435
1_none_baseline,MAP_mean,SOFA_other(MAP+resp),0.0021566321502772103
1_none_baseline,MAP_min,SOFA_other(MAP+resp),0.0017972666384511893
1_none_baseline,MAP_max,SOFA_other(MAP+resp),0.0016354546731328413
1_none_baseline,MAP_std,SOFA_other(MAP+resp),-0.0013993626510226786
1_none_baseline,DBP_mean,non_SOFA,0.001003813149892896
1_none_baseline,DBP_min,non_SOFA,0.0005920674721717756
1_none_baseline,DBP_max,non_SOFA,0.00025419142914123727
1_none_baseline,DBP_std,non_SOFA,-0.0019431774290106008
1_none_baseline,Resp_mean,non_SOFA,0.001728245961210656
1_none_baseline,Resp_min,non_SOFA,0.004534589561730323
1_none_baseline,Resp_max,non_SOFA,0.0004947035492199215
1_none_baseline,Resp_std,non_SOFA,-0.000709724413270435
1_none_baseline,EtCO2_mean,non_SOFA,0.0018211649577901446
1_none_baseline,EtCO2_min,non_SOFA,-1.032426477133863e-05
1_none_baseline,EtCO2_max,non_SOFA,0.002342950936351984
1_none_baseline,EtCO2_std,non_SOFA,0.0017846729517894178
1_none_baseline,BaseExcess_mean,non_SOFA,0.0006280751835428366
1_none_baseline,BaseExcess_min,non_SOFA,-0.0004174111955274784
1_none_baseline,BaseExcess_max,non_SOFA,-0.00037313076845427173
1_none_baseline,BaseExcess_std,non_SOFA,0.00022400489107232135
1_none_baseline,HCO3_mean,non_SOFA,0.0004322938064387716
1_none_baseline,HCO3_min,non_SOFA,-0.0010306853038646146
1_none_baseline,HCO3_max,non_SOFA,-5.246231905955967e-05
1_none_baseline,HCO3_std,non_SOFA,5.876813770397948e-05
1_none_baseline,FiO2_mean,SOFA_other(MAP+resp),-0.0011452173296126245
1_none_baseline,FiO2_min,SOFA_other(MAP+resp),-0.0003397166226660475
1_none_baseline,FiO2_max,SOFA_other(MAP+resp),0.002847203796552361
1_none_baseline,FiO2_std,SOFA_other(MAP+resp),0.0005967127175061981
1_none_baseline,pH_mean,non_SOFA,0.001217123077186255
1_none_baseline,pH_min,non_SOFA,0.0004432134118639741
1_none_baseline,pH_max,non_SOFA,0.0006003417303810266
1_none_baseline,pH_std,non_SOFA,0.0014440878090485442
1_none_baseline,PaCO2_mean,non_SOFA,-0.0004834756003323115
1_none_baseline,PaCO2_min,non_SOFA,0.0023060934959571178
1_none_baseline,PaCO2_max,non_SOFA,0.0011180146243383426
1_none_baseline,PaCO2_std,non_SOFA,0.0007063327008866472
1_none_baseline,SaO2_mean,SOFA_other(MAP+resp),-0.0004674940559740548
1_none_baseline,SaO2_min,SOFA_other(MAP+resp),0.0011055894430869351
1_none_baseline,SaO2_max,SOFA_other(MAP+resp),0.0018780858812191326
1_none_baseline,SaO2_std,SOFA_other(MAP+resp),0.0005509645733886625
