arm,condition,fold,auprc,auroc
full,1_none,0,0.15349430052695454,0.7192208153413913
full,1_none,1,0.1797770724685524,0.7234316369053231
full,1_none,2,0.19506545532615963,0.752410409556314
full,1_none,3,0.19607780988830778,0.7457823758058401
full,1_none,4,0.15593026356837847,0.7338749051952977
full,2_class_weight,0,0.16811085549038163,0.7189910056002865
full,2_class_weight,1,0.17012168364122127,0.7252807214375954
full,2_class_weight,2,0.14687800974818638,0.7246421122487676
full,2_class_weight,3,0.1559019366143438,0.7355647990140309
full,2_class_weight,4,0.17595245854121333,0.7427901023890785
full,3_RandomUnder,0,0.16703571472424283,0.7359662851432127
full,3_RandomUnder,1,0.16754248799354088,0.7313253068843927
full,3_RandomUnder,2,0.16190282779557955,0.7466131020098596
full,3_RandomUnder,3,0.15105658438706385,0.7356216818354191
full,3_RandomUnder,4,0.17007203549215572,0.7331330583996967
full,4_RandomOver,0,0.16379250137013612,0.715640497426131
full,4_RandomOver,1,0.18687324963930307,0.7325273886070935
full,4_RandomOver,2,0.14644693562186098,0.7266033845278725
full,4_RandomOver,3,0.1679603196825335,0.7383911642017444
full,4_RandomOver,4,0.1756125882480853,0.73978360826697
full,5_SMOTENC,0,0.16276558948332148,0.7181224426300606
full,5_SMOTENC,1,0.14838360543681428,0.7029385005562575
full,5_SMOTENC,2,0.1506812826336168,0.7320546549108835
full,5_SMOTENC,3,0.14402027888118596,0.720809632157755
full,5_SMOTENC,4,0.14541638764334147,0.7103609689040576
full,6_BorderlineSMOTE,0,0.18281082202268328,0.7376126656987159
full,6_BorderlineSMOTE,1,0.1880047097838799,0.7335880489506534
full,6_BorderlineSMOTE,2,0.18915630471633993,0.7636364713689798
full,6_BorderlineSMOTE,3,0.1814125074133266,0.7532944634053849
full,6_BorderlineSMOTE,4,0.16154564150773407,0.7363990803943875
full,7_ADASYN,0,0.17357079411159848,0.7158219881960288
full,7_ADASYN,1,0.19287428455695854,0.7416985650444063
full,7_ADASYN,2,0.17812311850225837,0.7495319017823284
full,7_ADASYN,3,0.17566446903573785,0.7517432214637847
full,7_ADASYN,4,0.1602655958320894,0.7340739950701554
full,8_SMOTETomek,0,0.17721100620469937,0.719639186921351
full,8_SMOTETomek,1,0.19580824632158253,0.7310931401203025
full,8_SMOTETomek,2,0.1782998181204393,0.7508793136139553
full,8_SMOTETomek,3,0.1699428846655742,0.7495745638983694
full,8_SMOTETomek,4,0.15834735018468166,0.7241550530906333
lab_core,1_none,0,0.1559655583326811,0.7124314106311166
lab_core,1_none,1,0.1759247331420428,0.7242448098353855
lab_core,1_none,2,0.1951882936207178,0.7484440178232841
lab_core,1_none,3,0.18475538367426336,0.7500023701175579
lab_core,1_none,4,0.16509473941812108,0.7327372487675389
lab_core,2_class_weight,0,0.1816042275461636,0.7217487224935416
lab_core,2_class_weight,1,0.1765900145509768,0.7287219749967001
lab_core,2_class_weight,2,0.15366441611215728,0.738047497155859
lab_core,2_class_weight,3,0.1518449408048545,0.7283169795221843
lab_core,2_class_weight,4,0.18256943308578355,0.7414260997345468
lab_core,3_RandomUnder,0,0.17009936794836567,0.729796777478174
lab_core,3_RandomUnder,1,0.18196434754475338,0.7292358060075802
lab_core,3_RandomUnder,2,0.14649788486264137,0.7277777777777777
lab_core,3_RandomUnder,3,0.15403851624000764,0.7295032233598787
lab_core,3_RandomUnder,4,0.16065595312679223,0.7345800151687523
lab_core,4_RandomOver,0,0.1580741033776859,0.7084433277393322
lab_core,4_RandomOver,1,0.1757585102668774,0.7311638508098731
lab_core,4_RandomOver,2,0.14335732926607553,0.7205595847554038
lab_core,4_RandomOver,3,0.15228699695945647,0.7298611111111111
lab_core,4_RandomOver,4,0.17107718328464544,0.7352637940841865
lab_core,5_SMOTENC,0,0.16582893336956644,0.7160671185865406
lab_core,5_SMOTENC,1,0.1459769758544264,0.7153187637885845
lab_core,5_SMOTENC,2,0.15133050303915271,0.7315391543420553
lab_core,5_SMOTENC,3,0.14440043073200418,0.7230825748957149
lab_core,5_SMOTENC,4,0.14263073605018434,0.6965206674251042
lab_core,6_BorderlineSMOTE,0,0.17820465044145917,0.7206008522995115
lab_core,6_BorderlineSMOTE,1,0.1942308848898675,0.7405200535515623
lab_core,6_BorderlineSMOTE,2,0.19559647932299934,0.7541951080773607
lab_core,6_BorderlineSMOTE,3,0.1887417350915379,0.7620698236632537
lab_core,6_BorderlineSMOTE,4,0.16916838627044395,0.734081105422829
lab_core,7_ADASYN,0,0.17151887083835066,0.720453538362906
lab_core,7_ADASYN,1,0.18784641206733083,0.7332003186695076
lab_core,7_ADASYN,2,0.1655511795421979,0.7612971653394008
lab_core,7_ADASYN,3,0.18354014061509422,0.7608527682973076
lab_core,7_ADASYN,4,0.16632526834976646,0.7308067880166855
lab_core,8_SMOTETomek,0,0.17170638646886177,0.7311662078328588
lab_core,8_SMOTETomek,1,0.19437232451716252,0.733832000829672
lab_core,8_SMOTETomek,2,0.18573057833443005,0.7582574895714829
lab_core,8_SMOTETomek,3,0.18221898493876654,0.762191884717482
lab_core,8_SMOTETomek,4,0.16042287946871492,0.7198129977246871
all_7,1_none,0,0.1516960448124277,0.7003764165708144
all_7,1_none,1,0.1585249495597026,0.6996799162785435
all_7,1_none,2,0.1842511739451249,0.7537376753886992
all_7,1_none,3,0.17756739588975368,0.7126789438756161
all_7,1_none,4,0.1560345426390451,0.7141140500568829
all_7,2_class_weight,0,0.14185136472989004,0.6963553353572305
all_7,2_class_weight,1,0.15255705846343035,0.7027287255105311
all_7,2_class_weight,2,0.14769006001206153,0.7295778820629504
all_7,2_class_weight,3,0.13915883811288127,0.7004799488054607
all_7,2_class_weight,4,0.16567307311641624,0.715092908608267
all_7,3_RandomUnder,0,0.1592949130918684,0.7140695416061698
all_7,3_RandomUnder,1,0.16209140836078442,0.7107921011445704
all_7,3_RandomUnder,2,0.12940153183044567,0.7133188756162305
all_7,3_RandomUnder,3,0.14184422064429314,0.7070475445582101
all_7,3_RandomUnder,4,0.15923804989552362,0.711632536973834
all_7,4_RandomOver,0,0.1422502767586587,0.7070361850168763
all_7,4_RandomOver,1,0.1660498751022268,0.7201211981219242
all_7,4_RandomOver,2,0.1428973239746235,0.7231667140690178
all_7,4_RandomOver,3,0.13601168005420317,0.7106027208949565
all_7,4_RandomOver,4,0.16604275463415313,0.7195487296169889
all_7,5_SMOTENC,0,0.16009405095395862,0.7153647257368054
all_7,5_SMOTENC,1,0.1360794772676743,0.6968279184658608
all_7,5_SMOTENC,2,0.13919884839831032,0.7160397705726205
all_7,5_SMOTENC,3,0.12381834522096218,0.6939147231702693
all_7,5_SMOTENC,4,0.13938383335782384,0.6844804702313234
all_7,6_BorderlineSMOTE,0,0.1591469552944293,0.7067344860747081
all_7,6_BorderlineSMOTE,1,0.1737358465690419,0.7159858012935342
all_7,6_BorderlineSMOTE,2,0.17355847552047488,0.7545814372392871
all_7,6_BorderlineSMOTE,3,0.153658970058956,0.7282387656427759
all_7,6_BorderlineSMOTE,4,0.1818931877941137,0.7245994501327266
all_7,7_ADASYN,0,0.15840615527840263,0.7013722587822677
all_7,7_ADASYN,1,0.17145431524901186,0.7152162332887071
all_7,7_ADASYN,2,0.16967987104508625,0.7496290766021996
all_7,7_ADASYN,3,0.15168648836365556,0.7213417235494881
all_7,7_ADASYN,4,0.15093371329024285,0.709010001896094
all_7,8_SMOTETomek,0,0.15664442023763392,0.7150005656855165
all_7,8_SMOTETomek,1,0.1757309392750087,0.7138385533535723
all_7,8_SMOTETomek,2,0.16847757062502633,0.7437334091770951
all_7,8_SMOTETomek,3,0.1484543475946929,0.7246314467197573
