arm,condition,family,cv_auprc,cv_auprc_sd,cv_auroc,cv_auroc_sd,test_auprc,test_auroc,secs,error
full,1_none,baseline,0.17606898035567056,0.018385610410840147,0.7349440285608331,0.012676291700866364,0.16404565327156348,0.7114234807991205,86.0,
full,2_class_weight,weight,0.16339298880706926,0.01052743346200783,0.7294537481379518,0.008546791920984346,0.15610252368008118,0.7169278592820048,60.1,
full,3_RandomUnder,under,0.16352193007851654,0.006773799300605562,0.7365318868545162,0.005318642445803772,0.1494104766095538,0.72118427537056,12.3,
full,4_RandomOver,over,0.16813711891238378,0.013388773260741844,0.7305892086059623,0.008814928218439136,0.1698189604815098,0.7291322643011486,90.4,
full,5_SMOTENC,over,0.15025342881565598,0.006670571015128039,0.7168572398318028,0.009839882187222655,0.1541363551433193,0.713266613594147,243.2,
full,6_BorderlineSMOTE,over,0.18058599708879278,0.00996649965473551,0.7449061459636243,0.011617687362493226,0.16806831128923905,0.727234542628606,154.5,
full,7_ADASYN,over,0.17609965240772854,0.010419064787853049,0.7385739343113407,0.01297051269322215,0.16429434393350478,0.7357504075211342,141.5,
full,8_SMOTETomek,hybrid,0.1759218610993954,0.012226172622609789,0.7350682515289223,0.012910292237945393,0.1684589747155951,0.7371932218810417,198.6,
lab_core,1_none,baseline,0.1753857416375652,0.01387998569926586,0.7335719714349767,0.014323070768397821,0.16218567878137197,0.7093771560711172,79.5,
lab_core,2_class_weight,weight,0.16925460641998716,0.013636395815710104,0.7316522547805663,0.007130465940515245,0.16526500647662293,0.7246931271086849,56.8,
lab_core,3_RandomUnder,under,0.16265121394451204,0.012390010455467776,0.7301787199584326,0.0023076908508215125,0.15392254307102252,0.7182432995943744,11.3,
lab_core,4_RandomOver,over,0.1601108246309481,0.011926032095545318,0.7250583336999814,0.009599922883360736,0.16242456997744203,0.7219712650214185,85.5,
lab_core,5_SMOTENC,over,0.15003351580906682,0.008416242675126305,0.7165056558075998,0.011578106331215211,0.14687686524525448,0.7111103529322568,230.0,
lab_core,6_BorderlineSMOTE,over,0.1851884272032616,0.010081016181298063,0.7422933886029035,0.01465544781747013,0.16935901235611117,0.7337268281587627,148.0,
lab_core,7_ADASYN,over,0.174956374282548,0.009106088361097288,0.7413221157371616,0.016688212740371647,0.16105474080643195,0.7347048788809281,135.4,
lab_core,8_SMOTETomek,hybrid,0.17889023074558716,0.011749186090468442,0.7410521161352366,0.016394365432291617,0.16757604061281234,0.7374267409681944,189.2,
all_7,1_none,baseline,0.1656148213692108,0.012852688735540829,0.7161174004341113,0.019743813928653736,0.1453290497731295,0.6964646120019713,70.8,
all_7,2_class_weight,weight,0.1493860788869359,0.00937620545645704,0.708846960068888,0.012101763172453461,0.14623002459901024,0.6914636642784032,50.8,
all_7,3_RandomUnder,under,0.15037402476458303,0.01271261803574172,0.7113721199798031,0.002456506966218656,0.134296833105759,0.6818355510064824,11.0,
all_7,4_RandomOver,over,0.15065038210477305,0.012798693641012722,0.7160951095439527,0.0061704929797279885,0.1421348802089365,0.69768148906327,76.5,
all_7,5_SMOTENC,over,0.13971491103974584,0.011675636687277079,0.7013255216353759,0.012429903447371013,0.12846068754379844,0.6928943477766404,204.7,
all_7,6_BorderlineSMOTE,over,0.16839868704740316,0.010392921019402934,0.7260279880766064,0.016095418305053986,0.14902612403194482,0.7173857993100572,129.6,
all_7,7_ADASYN,over,0.16043210864527985,0.008692755872499059,0.7193138588237513,0.0165407719224967,0.14932991457850303,0.7062504264756055,119.2,
all_7,8_SMOTETomek,hybrid,0.16333875516493696,0.00961995408505696,0.7241753418207112,0.010714516860727299,0.15015114353105988,0.7075105197316047,167.3,
