contrast,condition,mean_diff,nb_se,ci95_halfwidth,p_nb,p_bh,sig_bh_05,p_bh_global40,sig_bh_global,p_bh_within,sig_within,sig_global
total_labs,1_none,0.02082,0.01088,0.0302,0.1282,0.1709,False,0.3663,False,0.17093333333333335,False,False
total_labs,2_class_weight,0.01141,0.01164,0.03232,0.3824,0.3824,False,0.5834,False,0.3824,False,False
total_labs,3_RandomUnder,0.01302,0.00378,0.01048,0.0261,0.0696,False,0.1907,False,0.06960000000000001,False,False
total_labs,4_RandomOver,0.01609,0.01415,0.03929,0.3192,0.3648,False,0.5435,False,0.36479999999999996,False,False
total_labs,5_SMOTENC,0.01924,0.00832,0.02311,0.0819,0.131,False,0.3073,False,0.13104,False,False
total_labs,6_BorderlineSMOTE,0.02716,0.01009,0.02801,0.0545,0.109,False,0.3073,False,0.109,False,False
total_labs,7_ADASYN,0.02794,0.00589,0.01636,0.009,0.036,True,0.18,False,0.036,True,False
total_labs,8_SMOTETomek,0.0313,0.00459,0.01275,0.0024,0.0192,True,0.096,False,0.0192,True,False
all_7,1_none,0.01045,0.00643,0.01787,0.1796,0.2395,False,0.4226,False,0.2394666666666667,False,False
all_7,2_class_weight,0.01401,0.00674,0.01871,0.1062,0.2124,False,0.3268,False,0.2124,False,False
all_7,3_RandomUnder,0.01315,0.00738,0.02048,0.1493,0.2389,False,0.3732,False,0.23887999999999998,False,False
all_7,4_RandomOver,0.01749,0.00745,0.02069,0.0788,0.2107,False,0.3073,False,0.21066666666666667,False,False
all_7,5_SMOTENC,0.01054,0.00449,0.01248,0.079,0.2107,False,0.3073,False,0.21066666666666667,False,False
all_7,6_BorderlineSMOTE,0.01219,0.01277,0.03544,0.3938,0.3938,False,0.5834,False,0.3938,False,False
all_7,7_ADASYN,0.01567,0.00468,0.013,0.0286,0.2107,False,0.1907,False,0.21066666666666667,False,False
all_7,8_SMOTETomek,0.01258,0.00871,0.02418,0.2221,0.2538,False,0.4936,False,0.2538285714285714,False,False
circularity,1_none,0.0068,0.00557,0.01547,0.2897,0.4348,False,0.5267,False,0.4348,False,False
circularity,2_class_weight,0.00944,0.00721,0.02002,0.2606,0.4348,False,0.4964,False,0.4348,False,False
circularity,3_RandomUnder,0.00545,0.00885,0.02457,0.5714,0.5714,False,0.6675,False,0.5714,False,False
circularity,4_RandomOver,0.00865,0.00773,0.02147,0.3261,0.4348,False,0.5435,False,0.4348,False,False
circularity,5_SMOTENC,0.00427,0.00552,0.01533,0.483,0.552,False,0.6675,False,0.5519999999999999,False,False
circularity,6_BorderlineSMOTE,0.01248,0.00691,0.01918,0.1451,0.3869,False,0.3732,False,0.38693333333333335,False,False
circularity,7_ADASYN,0.0165,0.00785,0.0218,0.1034,0.3869,False,0.3268,False,0.38693333333333335,False,False
circularity,8_SMOTETomek,0.01379,0.00364,0.01011,0.0193,0.1544,False,0.1907,False,0.1544,False,False
sofa_values,1_none,0.00544,0.00504,0.01401,0.3415,0.6675,False,0.5464,False,0.6675428571428571,False,False
sofa_values,2_class_weight,0.0003,0.00521,0.01448,0.9575,0.9575,False,0.9575,False,0.9575,False,False
sofa_values,3_RandomUnder,0.006,0.0101,0.02803,0.5841,0.6675,False,0.6675,False,0.6675428571428571,False,False
sofa_values,4_RandomOver,0.00512,0.00701,0.01946,0.5054,0.6675,False,0.6675,False,0.6675428571428571,False,False
sofa_values,5_SMOTENC,0.01026,0.00251,0.00697,0.015,0.12,False,0.1907,False,0.12,False,False
sofa_values,6_BorderlineSMOTE,0.00301,0.00505,0.01402,0.5827,0.6675,False,0.6675,False,0.6675428571428571,False,False
sofa_values,7_ADASYN,0.00532,0.00891,0.02475,0.5831,0.6675,False,0.6675,False,0.6675428571428571,False,False
sofa_values,8_SMOTETomek,0.00369,0.00562,0.01559,0.5474,0.6675,False,0.6675,False,0.6675428571428571,False,False
lab_core,1_none,0.00068,0.0051,0.01415,0.8998,0.9171,False,0.9406,False,0.9171,False,False
lab_core,2_class_weight,-0.00586,0.00422,0.01172,0.2373,0.6827,False,0.4964,False,0.6826666666666666,False,False
lab_core,3_RandomUnder,0.00087,0.00785,0.02181,0.9171,0.9171,False,0.9406,False,0.9171,False,False
lab_core,4_RandomOver,0.00803,0.00352,0.00976,0.0845,0.676,False,0.3073,False,0.676,False,False
lab_core,5_SMOTENC,0.00022,0.00162,0.00449,0.8984,0.9171,False,0.9406,False,0.9171,False,False
lab_core,6_BorderlineSMOTE,-0.0046,0.00348,0.00965,0.256,0.6827,False,0.4964,False,0.6826666666666666,False,False
lab_core,7_ADASYN,0.00114,0.00561,0.01558,0.8485,0.9171,False,0.9406,False,0.9171,False,False
lab_core,8_SMOTETomek,-0.00297,0.00473,0.01312,0.564,0.9171,False,0.6675,False,0.9171,False,False
