feature,source_var,statistic,kind,group,is_sofa_component,sofa_system,is_sofa_lab_core
Age,Age,value,static,demographic,False,,False
Gender,Gender,value,static,demographic,False,,False
Unit1,Unit1,value,static,demographic,False,,False
Unit2,Unit2,value,static,demographic,False,,False
HospAdmTime,HospAdmTime,value,static,demographic,False,,False
HR_mean,HR,mean,value,vital,False,,False
HR_min,HR,min,value,vital,False,,False
HR_max,HR,max,value,vital,False,,False
HR_std,HR,std,value,vital,False,,False
O2Sat_mean,O2Sat,mean,value,vital,True,respiration,False
O2Sat_min,O2Sat,min,value,vital,True,respiration,False
O2Sat_max,O2Sat,max,value,vital,True,respiration,False
O2Sat_std,O2Sat,std,value,vital,True,respiration,False
Temp_mean,Temp,mean,value,vital,False,,False
Temp_min,Temp,min,value,vital,False,,False
Temp_max,Temp,max,value,vital,False,,False
Temp_std,Temp,std,value,vital,False,,False
SBP_mean,SBP,mean,value,vital,False,,False
SBP_min,SBP,min,value,vital,False,,False
SBP_max,SBP,max,value,vital,False,,False
SBP_std,SBP,std,value,vital,False,,False
MAP_mean,MAP,mean,value,vital,True,cardiovascular,False
MAP_min,MAP,min,value,vital,True,cardiovascular,False
MAP_max,MAP,max,value,vital,True,cardiovascular,False
MAP_std,MAP,std,value,vital,True,cardiovascular,False
DBP_mean,DBP,mean,value,vital,False,,False
DBP_min,DBP,min,value,vital,False,,False
DBP_max,DBP,max,value,vital,False,,False
DBP_std,DBP,std,value,vital,False,,False
Resp_mean,Resp,mean,value,vital,False,,False
Resp_min,Resp,min,value,vital,False,,False
Resp_max,Resp,max,value,vital,False,,False
Resp_std,Resp,std,value,vital,False,,False
EtCO2_mean,EtCO2,mean,value,vital,False,,False
EtCO2_min,EtCO2,min,value,vital,False,,False
EtCO2_max,EtCO2,max,value,vital,False,,False
EtCO2_std,EtCO2,std,value,vital,False,,False
BaseExcess_mean,BaseExcess,mean,value,lab,False,,False
BaseExcess_min,BaseExcess,min,value,lab,False,,False
BaseExcess_max,BaseExcess,max,value,lab,False,,False
BaseExcess_std,BaseExcess,std,value,lab,False,,False
HCO3_mean,HCO3,mean,value,lab,False,,False
HCO3_min,HCO3,min,value,lab,False,,False
HCO3_max,HCO3,max,value,lab,False,,False
HCO3_std,HCO3,std,value,lab,False,,False
FiO2_mean,FiO2,mean,value,lab,True,respiration,False
FiO2_min,FiO2,min,value,lab,True,respiration,False
FiO2_max,FiO2,max,value,lab,True,respiration,False
FiO2_std,FiO2,std,value,lab,True,respiration,False
pH_mean,pH,mean,value,lab,False,,False
pH_min,pH,min,value,lab,False,,False
pH_max,pH,max,value,lab,False,,False
pH_std,pH,std,value,lab,False,,False
PaCO2_mean,PaCO2,mean,value,lab,False,,False
PaCO2_min,PaCO2,min,value,lab,False,,False
PaCO2_max,PaCO2,max,value,lab,False,,False
PaCO2_std,PaCO2,std,value,lab,False,,False
SaO2_mean,SaO2,mean,value,lab,True,respiration,False
SaO2_min,SaO2,min,value,lab,True,respiration,False
SaO2_max,SaO2,max,value,lab,True,respiration,False
SaO2_std,SaO2,std,value,lab,True,respiration,False
AST_mean,AST,mean,value,lab,False,,False
AST_min,AST,min,value,lab,False,,False
AST_max,AST,max,value,lab,False,,False
AST_std,AST,std,value,lab,False,,False
BUN_mean,BUN,mean,value,lab,False,,False
BUN_min,BUN,min,value,lab,False,,False
BUN_max,BUN,max,value,lab,False,,False
BUN_std,BUN,std,value,lab,False,,False
Alkalinephos_mean,Alkalinephos,mean,value,lab,False,,False
Alkalinephos_min,Alkalinephos,min,value,lab,False,,False
Alkalinephos_max,Alkalinephos,max,value,lab,False,,False
Alkalinephos_std,Alkalinephos,std,value,lab,False,,False
Calcium_mean,Calcium,mean,value,lab,False,,False
Calcium_min,Calcium,min,value,lab,False,,False
Calcium_max,Calcium,max,value,lab,False,,False
Calcium_std,Calcium,std,value,lab,False,,False
Chloride_mean,Chloride,mean,value,lab,False,,False
Chloride_min,Chloride,min,value,lab,False,,False
Chloride_max,Chloride,max,value,lab,False,,False
Chloride_std,Chloride,std,value,lab,False,,False
Creatinine_mean,Creatinine,mean,value,lab,True,renal,True
Creatinine_min,Creatinine,min,value,lab,True,renal,True
Creatinine_max,Creatinine,max,value,lab,True,renal,True
Creatinine_std,Creatinine,std,value,lab,True,renal,True
Bilirubin_direct_mean,Bilirubin_direct,mean,value,lab,False,,False
Bilirubin_direct_min,Bilirubin_direct,min,value,lab,False,,False
Bilirubin_direct_max,Bilirubin_direct,max,value,lab,False,,False
Bilirubin_direct_std,Bilirubin_direct,std,value,lab,False,,False
Glucose_mean,Glucose,mean,value,lab,False,,False
Glucose_min,Glucose,min,value,lab,False,,False
Glucose_max,Glucose,max,value,lab,False,,False
Glucose_std,Glucose,std,value,lab,False,,False
Lactate_mean,Lactate,mean,value,lab,False,,False
Lactate_min,Lactate,min,value,lab,False,,False
Lactate_max,Lactate,max,value,lab,False,,False
Lactate_std,Lactate,std,value,lab,False,,False
Magnesium_mean,Magnesium,mean,value,lab,False,,False
Magnesium_min,Magnesium,min,value,lab,False,,False
Magnesium_max,Magnesium,max,value,lab,False,,False
Magnesium_std,Magnesium,std,value,lab,False,,False
Phosphate_mean,Phosphate,mean,value,lab,False,,False
Phosphate_min,Phosphate,min,value,lab,False,,False
Phosphate_max,Phosphate,max,value,lab,False,,False
Phosphate_std,Phosphate,std,value,lab,False,,False
Potassium_mean,Potassium,mean,value,lab,False,,False
Potassium_min,Potassium,min,value,lab,False,,False
Potassium_max,Potassium,max,value,lab,False,,False
Potassium_std,Potassium,std,value,lab,False,,False
Bilirubin_total_mean,Bilirubin_total,mean,value,lab,True,liver,True
Bilirubin_total_min,Bilirubin_total,min,value,lab,True,liver,True
Bilirubin_total_max,Bilirubin_total,max,value,lab,True,liver,True
Bilirubin_total_std,Bilirubin_total,std,value,lab,True,liver,True
TroponinI_mean,TroponinI,mean,value,lab,False,,False
TroponinI_min,TroponinI,min,value,lab,False,,False
TroponinI_max,TroponinI,max,value,lab,False,,False
TroponinI_std,TroponinI,std,value,lab,False,,False
Hct_mean,Hct,mean,value,lab,False,,False
Hct_min,Hct,min,value,lab,False,,False
Hct_max,Hct,max,value,lab,False,,False
Hct_std,Hct,std,value,lab,False,,False
Hgb_mean,Hgb,mean,value,lab,False,,False
Hgb_min,Hgb,min,value,lab,False,,False
Hgb_max,Hgb,max,value,lab,False,,False
Hgb_std,Hgb,std,value,lab,False,,False
PTT_mean,PTT,mean,value,lab,False,,False
PTT_min,PTT,min,value,lab,False,,False
PTT_max,PTT,max,value,lab,False,,False
PTT_std,PTT,std,value,lab,False,,False
WBC_mean,WBC,mean,value,lab,False,,False
WBC_min,WBC,min,value,lab,False,,False
WBC_max,WBC,max,value,lab,False,,False
WBC_std,WBC,std,value,lab,False,,False
Fibrinogen_mean,Fibrinogen,mean,value,lab,False,,False
Fibrinogen_min,Fibrinogen,min,value,lab,False,,False
Fibrinogen_max,Fibrinogen,max,value,lab,False,,False
Fibrinogen_std,Fibrinogen,std,value,lab,False,,False
Platelets_mean,Platelets,mean,value,lab,True,coagulation,True
Platelets_min,Platelets,min,value,lab,True,coagulation,True
Platelets_max,Platelets,max,value,lab,True,coagulation,True
Platelets_std,Platelets,std,value,lab,True,coagulation,True
HR_last,HR,last,value,vital,False,,False
O2Sat_last,O2Sat,last,value,vital,True,respiration,False
Temp_last,Temp,last,value,vital,False,,False
SBP_last,SBP,last,value,vital,False,,False
MAP_last,MAP,last,value,vital,True,cardiovascular,False
DBP_last,DBP,last,value,vital,False,,False
Resp_last,Resp,last,value,vital,False,,False
EtCO2_last,EtCO2,last,value,vital,False,,False
BaseExcess_last,BaseExcess,last,value,lab,False,,False
HCO3_last,HCO3,last,value,lab,False,,False
FiO2_last,FiO2,last,value,lab,True,respiration,False
pH_last,pH,last,value,lab,False,,False
PaCO2_last,PaCO2,last,value,lab,False,,False
SaO2_last,SaO2,last,value,lab,True,respiration,False
AST_last,AST,last,value,lab,False,,False
BUN_last,BUN,last,value,lab,False,,False
Alkalinephos_last,Alkalinephos,last,value,lab,False,,False
Calcium_last,Calcium,last,value,lab,False,,False
Chloride_last,Chloride,last,value,lab,False,,False
Creatinine_last,Creatinine,last,value,lab,True,renal,True
Bilirubin_direct_last,Bilirubin_direct,last,value,lab,False,,False
Glucose_last,Glucose,last,value,lab,False,,False
Lactate_last,Lactate,last,value,lab,False,,False
Magnesium_last,Magnesium,last,value,lab,False,,False
Phosphate_last,Phosphate,last,value,lab,False,,False
Potassium_last,Potassium,last,value,lab,False,,False
Bilirubin_total_last,Bilirubin_total,last,value,lab,True,liver,True
TroponinI_last,TroponinI,last,value,lab,False,,False
Hct_last,Hct,last,value,lab,False,,False
Hgb_last,Hgb,last,value,lab,False,,False
PTT_last,PTT,last,value,lab,False,,False
WBC_last,WBC,last,value,lab,False,,False
Fibrinogen_last,Fibrinogen,last,value,lab,False,,False
Platelets_last,Platelets,last,value,lab,True,coagulation,True
HR_n,HR,n,indicator,vital,False,,False
O2Sat_n,O2Sat,n,indicator,vital,True,respiration,False
Temp_n,Temp,n,indicator,vital,False,,False
SBP_n,SBP,n,indicator,vital,False,,False
MAP_n,MAP,n,indicator,vital,True,cardiovascular,False
DBP_n,DBP,n,indicator,vital,False,,False
Resp_n,Resp,n,indicator,vital,False,,False
EtCO2_n,EtCO2,n,indicator,vital,False,,False
BaseExcess_n,BaseExcess,n,indicator,lab,False,,False
HCO3_n,HCO3,n,indicator,lab,False,,False
FiO2_n,FiO2,n,indicator,lab,True,respiration,False
pH_n,pH,n,indicator,lab,False,,False
PaCO2_n,PaCO2,n,indicator,lab,False,,False
SaO2_n,SaO2,n,indicator,lab,True,respiration,False
AST_n,AST,n,indicator,lab,False,,False
BUN_n,BUN,n,indicator,lab,False,,False
Alkalinephos_n,Alkalinephos,n,indicator,lab,False,,False
Calcium_n,Calcium,n,indicator,lab,False,,False
Chloride_n,Chloride,n,indicator,lab,False,,False
Creatinine_n,Creatinine,n,indicator,lab,True,renal,True
Bilirubin_direct_n,Bilirubin_direct,n,indicator,lab,False,,False
Glucose_n,Glucose,n,indicator,lab,False,,False
Lactate_n,Lactate,n,indicator,lab,False,,False
Magnesium_n,Magnesium,n,indicator,lab,False,,False
Phosphate_n,Phosphate,n,indicator,lab,False,,False
Potassium_n,Potassium,n,indicator,lab,False,,False
Bilirubin_total_n,Bilirubin_total,n,indicator,lab,True,liver,True
TroponinI_n,TroponinI,n,indicator,lab,False,,False
Hct_n,Hct,n,indicator,lab,False,,False
Hgb_n,Hgb,n,indicator,lab,False,,False
PTT_n,PTT,n,indicator,lab,False,,False
WBC_n,WBC,n,indicator,lab,False,,False
Fibrinogen_n,Fibrinogen,n,indicator,lab,False,,False
Platelets_n,Platelets,n,indicator,lab,True,coagulation,True
HR_measured,HR,measured,indicator,vital,False,,False
O2Sat_measured,O2Sat,measured,indicator,vital,True,respiration,False
Temp_measured,Temp,measured,indicator,vital,False,,False
SBP_measured,SBP,measured,indicator,vital,False,,False
MAP_measured,MAP,measured,indicator,vital,True,cardiovascular,False
DBP_measured,DBP,measured,indicator,vital,False,,False
Resp_measured,Resp,measured,indicator,vital,False,,False
EtCO2_measured,EtCO2,measured,indicator,vital,False,,False
BaseExcess_measured,BaseExcess,measured,indicator,lab,False,,False
HCO3_measured,HCO3,measured,indicator,lab,False,,False
FiO2_measured,FiO2,measured,indicator,lab,True,respiration,False
pH_measured,pH,measured,indicator,lab,False,,False
PaCO2_measured,PaCO2,measured,indicator,lab,False,,False
SaO2_measured,SaO2,measured,indicator,lab,True,respiration,False
AST_measured,AST,measured,indicator,lab,False,,False
BUN_measured,BUN,measured,indicator,lab,False,,False
Alkalinephos_measured,Alkalinephos,measured,indicator,lab,False,,False
Calcium_measured,Calcium,measured,indicator,lab,False,,False
Chloride_measured,Chloride,measured,indicator,lab,False,,False
Creatinine_measured,Creatinine,measured,indicator,lab,True,renal,True
Bilirubin_direct_measured,Bilirubin_direct,measured,indicator,lab,False,,False
Glucose_measured,Glucose,measured,indicator,lab,False,,False
Lactate_measured,Lactate,measured,indicator,lab,False,,False
Magnesium_measured,Magnesium,measured,indicator,lab,False,,False
Phosphate_measured,Phosphate,measured,indicator,lab,False,,False
Potassium_measured,Potassium,measured,indicator,lab,False,,False
Bilirubin_total_measured,Bilirubin_total,measured,indicator,lab,True,liver,True
TroponinI_measured,TroponinI,measured,indicator,lab,False,,False
Hct_measured,Hct,measured,indicator,lab,False,,False
Hgb_measured,Hgb,measured,indicator,lab,False,,False
PTT_measured,PTT,measured,indicator,lab,False,,False
WBC_measured,WBC,measured,indicator,lab,False,,False
Fibrinogen_measured,Fibrinogen,measured,indicator,lab,False,,False
Platelets_measured,Platelets,measured,indicator,lab,True,coagulation,True
