cond,direction,model,delta,lo,hi,sig
1_none,A->B,RF,-0.0005498929988939361,-0.01079135633523986,0.00847178525546956,False
1_none,A->B,xgboost,-0.007235058461500743,-0.01672450853824164,0.0005068417211151862,False
1_none,A->B,lightgbm,-0.0001955163820288458,-0.0088524610707875,0.010986894492076228,False
1_none,B->A,RF,0.00497406508259346,-0.0013799311870468988,0.011450292169466178,False
1_none,B->A,xgboost,0.004893270889049395,-0.0026486958386237884,0.014115427604670584,False
1_none,B->A,lightgbm,-0.0036480938949686736,-0.011343703750685892,0.004911333994787684,False
5_SMOTENC,A->B,RF,0.0007391970608208731,-0.009835969653016537,0.011645905760298433,False
5_SMOTENC,A->B,xgboost,-0.007264463407043925,-0.018996212331124942,0.00019669841353555216,False
5_SMOTENC,A->B,lightgbm,-0.004166190278859699,-0.015711883296573897,0.004702328024854044,False
5_SMOTENC,B->A,RF,-0.004117846422683272,-0.010921289394627543,0.0019400197219476014,False
5_SMOTENC,B->A,xgboost,-0.008701579872929494,-0.01785696835689228,-0.0013380199761455472,True
5_SMOTENC,B->A,lightgbm,-0.005557964687786687,-0.013091200490211945,0.0018524419204982105,False
