design,site,model,n_splits,prevalence_floor,full_auprc,full_sd,ordering_only_auprc,ordering_only_sd,values_only_auprc,values_only_sd,ordering_raw_ratio_pct,ordering_above_baseline_pct,values_above_baseline_pct
matched,A,RF,25,0.0714,0.1698,0.0157,0.1338,0.0157,0.1323,0.0092,78.8,63.4,61.9
matched,A,lightgbm,25,0.0714,0.1766,0.0162,0.1355,0.0177,0.1131,0.0126,76.7,60.9,39.6
matched,A,xgboost,25,0.0714,0.181,0.0195,0.1441,0.0199,0.1249,0.0121,79.6,66.3,48.8
matched,B,RF,25,0.0714,0.2152,0.0337,0.1041,0.0145,0.1266,0.0198,48.4,22.7,38.4
matched,B,lightgbm,25,0.0714,0.1946,0.0341,0.1025,0.02,0.0867,0.0138,52.7,25.2,12.4
matched,B,xgboost,25,0.0714,0.1961,0.0281,0.1047,0.0164,0.1018,0.0169,53.4,26.7,24.4
native,A,RF,25,0.0909,0.219,0.0131,0.1553,0.0171,0.1592,0.0128,70.9,50.3,53.3
native,A,lightgbm,25,0.0909,0.2284,0.0207,0.1547,0.0158,0.1421,0.0156,67.7,46.4,37.2
native,A,xgboost,25,0.0909,0.2297,0.023,0.1639,0.0121,0.1519,0.0138,71.4,52.6,44.0
native,B,RF,25,0.0556,0.1634,0.0212,0.0817,0.0097,0.0998,0.0178,50.0,24.2,41.0
native,B,lightgbm,25,0.0556,0.1409,0.0184,0.0817,0.0133,0.067,0.0137,58.0,30.6,13.4
native,B,xgboost,25,0.0556,0.1526,0.0255,0.0847,0.0167,0.0795,0.0166,55.5,30.0,24.6
