arm,condition,mean_d,p_corrected,model,channel
lab_panel,1_none,0.0216490830774674,0.0127367218833085,RF,total_labs
lab_panel,2_class_weight,0.0166784720508369,0.0351230438351796,RF,total_labs
lab_panel,3_RandomUnder,0.0144354905019227,0.1282084635084808,RF,total_labs
lab_panel,4_RandomOver,0.0170337827405336,0.0283071658600043,RF,total_labs
lab_panel,5_SMOTENC,0.0195842079736916,0.0070913488321198,RF,total_labs
lab_panel,6_BorderlineSMOTE,0.0237576721838696,0.0135938864593433,RF,total_labs
lab_panel,7_ADASYN,0.0252794553559132,0.0006107234221104,RF,total_labs
lab_panel,8_SMOTETomek,0.0266886453508266,0.0006202591382588,RF,total_labs
lab_indicators_only,1_none,0.0049937281124083,0.3302465984512667,RF,ordering_beyond_value
lab_indicators_only,2_class_weight,0.0064900182386895,0.2180716740498252,RF,ordering_beyond_value
lab_indicators_only,3_RandomUnder,0.0056082589924013,0.3038137869178644,RF,ordering_beyond_value
lab_indicators_only,4_RandomOver,0.006797790344936,0.1587135413347478,RF,ordering_beyond_value
lab_indicators_only,5_SMOTENC,0.0029386316043797,0.4445546129869818,RF,ordering_beyond_value
lab_indicators_only,6_BorderlineSMOTE,0.0090210020600902,0.0824769342426841,RF,ordering_beyond_value
lab_indicators_only,7_ADASYN,0.0101825219621825,0.0938992255925866,RF,ordering_beyond_value
lab_indicators_only,8_SMOTETomek,0.0130312248721224,0.0326252297329138,RF,ordering_beyond_value
all_7,1_none,0.0090038315826714,0.060393724309801,RF,SOFA_system
all_7,2_class_weight,0.0141833383562243,0.0051333412688526,RF,SOFA_system
all_7,3_RandomUnder,0.0106694362931184,0.1402663935228613,RF,SOFA_system
all_7,4_RandomOver,0.0123724263810157,0.0387845810266742,RF,SOFA_system
all_7,5_SMOTENC,0.0080841358473083,0.1157145522824794,RF,SOFA_system
all_7,6_BorderlineSMOTE,0.0090955808822426,0.1532654302075625,RF,SOFA_system
all_7,7_ADASYN,0.0106451472797266,0.1637395806564272,RF,SOFA_system
all_7,8_SMOTETomek,0.0100346809487976,0.1304461409772958,RF,SOFA_system
lab_indicators_only,1_none,-0.0006240884910522,0.934419577455908,xgboost,ordering_beyond_value
lab_indicators_only,2_class_weight,0.005386553150183,0.4118124390603929,xgboost,ordering_beyond_value
lab_indicators_only,3_RandomUnder,0.0035080622958974,0.5242487146535799,xgboost,ordering_beyond_value
lab_indicators_only,4_RandomOver,0.0047538138293684,0.4470189131925929,xgboost,ordering_beyond_value
lab_indicators_only,5_SMOTENC,0.0103834222632963,0.1678243858465282,xgboost,ordering_beyond_value
lab_indicators_only,6_BorderlineSMOTE,0.0110994291172576,0.0841625859271769,xgboost,ordering_beyond_value
lab_indicators_only,7_ADASYN,0.0105086111467159,0.097984536483016,xgboost,ordering_beyond_value
lab_indicators_only,8_SMOTETomek,0.0099450627874802,0.0799514089224783,xgboost,ordering_beyond_value
all_7,1_none,0.0136435114170377,0.0313805953467918,xgboost,SOFA_system
all_7,2_class_weight,0.0159047085650255,0.0182622837512065,xgboost,SOFA_system
all_7,3_RandomUnder,0.0148998386149722,0.0150143228453292,xgboost,SOFA_system
all_7,4_RandomOver,0.0187572052073593,0.0044994498011199,xgboost,SOFA_system
all_7,5_SMOTENC,0.0110928785451376,0.1920284772614155,xgboost,SOFA_system
all_7,6_BorderlineSMOTE,0.008543582485076,0.2657309041683523,xgboost,SOFA_system
all_7,7_ADASYN,0.0082254437934508,0.2332197196121499,xgboost,SOFA_system
all_7,8_SMOTETomek,0.0081385553945117,0.4075578423919337,xgboost,SOFA_system
lab_panel,1_none,0.0191534456759181,0.0102576164212324,xgboost,total_labs
lab_panel,2_class_weight,0.0146077499254416,0.0554325645977162,xgboost,total_labs
lab_panel,3_RandomUnder,0.0160890616738039,0.0373545409869043,xgboost,total_labs
lab_panel,4_RandomOver,0.0173509979994428,0.0104525408824888,xgboost,total_labs
lab_panel,5_SMOTENC,0.0167387056728101,0.0415806942123008,xgboost,total_labs
lab_panel,6_BorderlineSMOTE,0.021010203312371,0.0056465127643463,xgboost,total_labs
lab_panel,7_ADASYN,0.0228004095770962,0.0038772605601999,xgboost,total_labs
